model,seed,Recall@10,NDCG@10,MRR,gender_recall_gap,age_band_recall_gap,disability_recall_gap,imd_binary_recall_gap,gender_SPD,gender_EOD,gender_AOD,age_band_SPD,age_band_EOD,age_band_AOD,disability_SPD,disability_EOD,disability_AOD,imd_SPD,imd_EOD,imd_AOD,run_time_sec
sasrec_rerank_a0.3,2,0.038281005528319596,0.021417172621803354,0.016330397810527152,0.000716110615128572,0.011447167593550987,0.0035635947479452784,0.017105971014225053,0.0011820136635324122,-0.000716110615128572,0.0002404500557492556,0.00657631779006803,-0.008578474125188286,-0.0009203652595825007,-0.0032696778149333694,0.0035635947479452784,0.00011050067145106784,-0.002948261146707945,0.011092846187134797,0.0039976699159315725,360.2145571708679
sasrec_rerank_a0.5,2,0.03730746496992455,0.020835888161751335,0.015883363880651875,0.0007988625467050189,0.015305287041747804,0.004640932185421227,0.015830118207348882,0.0010802395583956528,-0.0007988625467050189,0.00014792859212486853,0.006649371249424385,-0.008344536757600822,-0.0007676629700476834,-0.0032095427804524693,0.004640932185421227,0.000673887002624076,-0.0028071992734428897,0.010518911957703644,0.0037849248065208764,355.55311393737793
sasrec_rerank_a0.7,2,0.03591669274364591,0.01966089548267426,0.014764633876451964,8.758684286909457e-06,0.018517218996157964,0.004981915010756295,0.01755389520882734,0.0011452324320978535,8.758684286909457e-06,0.0005801345708672384,0.006633644797359006,-0.007348711329293926,-0.00028287032759585773,-0.0032843014242893917,0.004981915010756295,0.0008047552607063149,-0.002691343600046671,0.010937178507277042,0.004050319273303059,356.5447459220886
sasrec_rerank_a1.0,2,0.032648378011891105,0.017588934095594904,0.013062372822986154,0.002357511563741102,0.024593135792939307,0.007001263151346693,0.0173974680738567,0.001018731589712836,0.002357511563741102,0.0016778055382645485,0.006526259155589624,-0.0058190173291706,0.00041982990027945,-0.0030822624657672326,0.007001263151346693,0.0019058069247819727,-0.0026521980995067584,0.011503005699686947,0.004349846938160226,357.93676686286926
llm,2,0.034,0.015080836885165623,0.009623809523809524,0.010954616588419404,0.04424778761061947,0.0449260920112938,0.051181102362204724,-0.003239236751090495,-0.010954616588419404,-0.007060841328845602,0.005038359388478832,-0.03182542736217227,-0.013198768118121897,-0.01083443871027559,0.0449260920112938,0.016755266318459264,-0.008827814423310272,0.033865085046187404,0.012291108081643926,620.5583291053772
popularity,3,0.032648378011891105,0.017648237851641626,0.013149144316349906,0.002639288430380582,0.024394308871774177,0.007799976922528984,0.013860637083659467,0.0012963627108925416,0.002639288430380582,0.001957483769874778,0.006919684980593768,-0.005157388140274357,0.0009459454201709034,-0.003404934270873912,0.007799976922528984,0.0021379947825779094,-0.003040142092263394,0.010285567551037572,0.0035515039178499637,9.128733396530151
cf,3,0.04182747470533014,0.02359491868875616,0.01811620177897428,0.00032408601439451457,0.029483400876008026,0.005230004766844647,0.020030561975545803,0.0011556055314339078,-0.00032408601439451457,0.0004216379383724274,0.006945480280993441,-0.007859305212056918,-0.0003782404844204536,-0.003080515194824808,0.005230004766844647,0.0010308208033646057,-0.003037267436401231,0.013743910138333704,0.005264533079510764,45.18544578552246
sasrec,3,0.041479781648760476,0.022694544675479728,0.01702583911304053,0.0021320342264692996,0.00962702408729671,0.002819269938233747,0.0192247602027819,0.001088171691907773,0.0021320342264692996,0.0016027091099475518,0.006917372229187799,-0.008189274395264401,-0.00055566429291104,-0.0032911383789560322,0.002819269938233747,-0.000268443421283647,-0.0027540450373447767,0.01278212645947091,0.0049317617147475595,375.41901755332947
sasrec_fair_lam0.0,3,0.041479781648760476,0.022694544675479728,0.01702583911304053,0.0021320342264692996,0.00962702408729671,0.002819269938233747,0.0192247602027819,0.001088171691907773,0.0021320342264692996,0.0016027091099475518,0.006917372229187799,-0.008189274395264401,-0.00055566429291104,-0.0032911383789560322,0.002819269938233747,-0.000268443421283647,-0.0027540450373447767,0.01278212645947091,0.0049317617147475595,375.41901755332947
sasrec_rerank_a0.0,3,0.041479781648760476,0.022694544675479728,0.01702583911304053,0.0021320342264692996,0.00962702408729671,0.002819269938233747,0.0192247602027819,0.001088171691907773,0.0021320342264692996,0.0016027091099475518,0.006917372229187799,-0.008189274395264401,-0.00055566429291104,-0.0032911383789560322,0.002819269938233747,-0.000268443421283647,-0.0027540450373447767,0.01278212645947091,0.0049317617147475595,375.41901755332947
